Value, Category, Count,  Acreage
1, Corn, 188577, 41938.5
5, Soybeans, 36, 8.0
6, Sunflowers, 59, 13.1
12, Sweet Corn, 5436, 1208.9
14, Mint, 40146, 8928.3
21, Barley, 1307, 290.7
23, Spring Wheat, 18670, 4152.1
24, Winter Wheat, 129172, 28727.2
25, Other Small Grains, 3, 0.7
27, Rye, 9, 2.0
28, Oats, 2689, 598.0
31, Canola, 357, 79.4
33, Safflower, 1, 0.2
35, Mustard, 31, 6.9
36, Alfalfa, 222338, 49446.8
37, Other Hay/Non Alfalfa, 57281, 12739.0
39, Buckwheat, 8, 1.8
41, Sugarbeets, 9, 2.0
42, Dry Beans, 3145, 699.4
43, Potatoes, 17294, 3846.1
44, Other Crops, 1894, 421.2
48, Watermelons, 1172, 260.6
49, Onions, 858, 190.8
50, Cucumbers, 226, 50.3
51, Chick Peas, 1, 0.2
52, Lentils, 6, 1.3
53, Peas, 1762, 391.9
54, Tomatoes, 507, 112.8
55, Caneberries, 24, 5.3
56, Hops, 228821, 50888.6
57, Herbs, 5066, 1126.7
58, Clover/Wildflowers, 78, 17.3
59, Sod/Grass Seed, 4058, 902.5
61, Fallow/Idle Cropland, 164326, 36545.2
66, Cherries, 81189, 18056.0
67, Peaches, 4491, 998.8
68, Apples, 373127, 82981.4
69, Grapes, 300219, 66767.1
70, Christmas Trees, 132, 29.4
71, Other Tree Crops, 12, 2.7
76, Walnuts, 7, 1.6
77, Pears, 27862, 6196.4
111, Open Water, 24487, 5445.8
121, Developed/Open Space, 234334, 52114.6
122, Developed/Low Intensity, 189408, 42123.3
123, Developed/Medium Intensity, 86626, 19265.2
124, Developed/High Intensity, 14002, 3114.0
131, Barren, 4343, 965.9
141, Deciduous Forest, 910, 202.4
142, Evergreen Forest, 748265, 166410.1
143, Mixed Forest, 256, 56.9
152, Shrubland, 1932763, 429836.1
176, Grass/Pasture, 3048087, 677878.2
190, Woody Wetlands, 54186, 12050.7
195, Herbaceous Wetlands, 83678, 18609.5
205, Triticale, 12736, 2832.4
206, Carrots, 2095, 465.9
207, Asparagus, 3393, 754.6
208, Garlic, 1, 0.2
214, Broccoli, 3, 0.7
216, Peppers, 1300, 289.1
219, Greens, 27, 6.0
220, Plums, 236, 52.5
222, Squash, 677, 150.6
223, Apricots, 1504, 334.5
224, Vetch, 8, 1.8
228, Dbl Crop Triticale/Corn, 27538, 6124.3
229, Pumpkins, 865, 192.4
242, Blueberries, 8027, 1785.2
246, Radishes, 1, 0.2
