Value, Category, Count,  Acreage
1, Corn, 219578, 48833.0
4, Sorghum, 5, 1.1
6, Sunflowers, 7, 1.6
11, Tobacco, 252, 56.0
12, Sweet Corn, 6753, 1501.8
21, Barley, 960, 213.5
23, Spring Wheat, 36175, 8045.1
24, Winter Wheat, 104458, 23230.9
27, Rye, 17, 3.8
28, Oats, 46, 10.2
30, Speltz, 1, 0.2
31, Canola, 33, 7.3
35, Mustard, 605, 134.5
36, Alfalfa, 193164, 42958.6
37, Other Hay/Non Alfalfa, 16975, 3775.1
39, Buckwheat, 136, 30.2
41, Sugarbeets, 34, 7.6
42, Dry Beans, 5609, 1247.4
43, Potatoes, 19313, 4295.1
44, Other Crops, 4, 0.9
47, Misc Vegs & Fruits, 7241, 1610.4
48, Watermelons, 228, 50.7
49, Onions, 472, 105.0
50, Cucumbers, 60, 13.3
53, Peas, 1220, 271.3
55, Caneberries, 633, 140.8
56, Hops, 197054, 43823.8
57, Herbs, 55614, 12368.3
58, Clover/Wildflowers, 781, 173.7
59, Sod/Grass Seed, 1396, 310.5
61, Fallow/Idle Cropland, 220982, 49145.2
66, Cherries, 47457, 10554.2
67, Peaches, 1418, 315.4
68, Apples, 413909, 92051.1
69, Grapes, 308343, 68573.8
70, Christmas Trees, 26, 5.8
71, Other Tree Crops, 5, 1.1
76, Walnuts, 28, 6.2
77, Pears, 19868, 4418.5
111, Open Water, 21471, 4775.0
121, Developed/Open Space, 231968, 51588.4
122, Developed/Low Intensity, 217935, 48467.6
123, Developed/Medium Intensity, 85234, 18955.6
124, Developed/High Intensity, 11482, 2553.5
131, Barren, 2185, 485.9
141, Deciduous Forest, 2561, 569.6
142, Evergreen Forest, 755006, 167909.3
143, Mixed Forest, 153, 34.0
152, Shrubland, 4815831, 1071015.0
176, Grass/Pasture, 191846, 42665.5
190, Woody Wetlands, 68939, 15331.7
195, Herbaceous Wetlands, 49837, 11083.5
205, Triticale, 13987, 3110.6
206, Carrots, 2522, 560.9
207, Asparagus, 4305, 957.4
216, Peppers, 370, 82.3
219, Greens, 18, 4.0
220, Plums, 110, 24.5
222, Squash, 722, 160.6
223, Apricots, 135, 30.0
224, Vetch, 22, 4.9
225, Dbl Crop WinWht/Corn, 10, 2.2
229, Pumpkins, 707, 157.2
237, Dbl Crop Barley/Corn, 999, 222.2
242, Blueberries, 2946, 655.2
247, Turnips, 1, 0.2
