YearMonth,lon,lat,ETo
2015-07,-120.81,45.99,125.95079087554811
2015-07,-120.68,45.99,144.53257390463523
2015-07,-120.60083,46.57417,
2015-07,-120.5428,46.5683,
2015-07,-120.3006,45.9981,174.74266706356903
2015-07,-120.1677,46.5053,
2015-07,-120.0289,46.345,21.453892756456945
2015-07,-119.758,46.2014,197.45758995703306
2015-07,-119.2633,46.3119,192.12720108740294
2015-07,-119.1011,46.2111,198.11995610968003
2015-08,-121.51,46.35,20.057779798180245
2015-08,-121.48,46.91,20.079290306376286
2015-08,-121.38,46.64,19.96116303000897
2015-08,-121.3533,45.8176,146.2203890421336
2015-08,-121.33,46.81,20.481995348489022
2015-08,-121.17,46.55,19.888406291353352
2015-08,-121.1661,45.6194,164.60440272150828
2015-08,-121.0833,45.9917,122.90467675911736
2015-08,-121.08,46.36,20.93840755028564
2015-08,-120.8428,45.8081,172.6550351201862
2015-08,-120.81,45.99,105.23617695254674
2015-08,-120.68,45.99,118.33862242061123
2015-08,-120.5428,46.5683,
2015-08,-120.4994,46.6722,
2015-08,-120.3006,45.9981,141.93081616344185
2015-08,-120.0289,46.345,22.554807887885953
2015-08,-119.2633,46.3119,162.01780254482622
2015-08,-119.1011,46.2111,173.08385260588602
2015-09,-121.51,46.35,17.84450322103325
2015-09,-121.48,46.91,16.67261898692794
2015-09,-121.38,46.64,18.969426864183554
2015-09,-121.33,46.81,21.763582896331016
2015-09,-121.17,46.55,20.908625641244388
2015-09,-121.1661,45.6194,115.80373770707088
2015-09,-121.0833,45.9917,79.07588953695893
2015-09,-121.08,46.36,18.114257022374602
2015-09,-120.8428,45.8081,116.36726057106787
2015-09,-120.81,45.99,70.22144362227897
2015-09,-120.68,45.99,79.53087650888638
2015-09,-120.60083,46.57417,
2015-09,-120.5428,46.5683,
2015-09,-120.3006,45.9981,93.26026987084941
2015-09,-120.1677,46.5053,
2015-09,-120.0289,46.345,19.93492117187615
2015-09,-119.2633,46.3119,109.25813634159303
2015-09,-119.1011,46.2111,111.90046769143379
2015-10,-121.5403,45.9997,67.25512497111819
2015-10,-121.51,46.35,17.885891146204752
2015-10,-121.48,46.91,19.572321496437077
2015-10,-121.38,46.64,17.965783394297574
2015-10,-121.3533,45.8176,61.31656410926729
2015-10,-121.33,46.81,19.664724342474752
2015-10,-121.17,46.55,
2015-10,-121.1661,45.6194,75.07162198238636
2015-10,-121.0833,45.9917,47.1628598205953
2015-10,-121.08,46.36,19.57836160003094
2015-10,-120.8428,45.8081,76.37578577969451
2015-10,-120.81,45.99,43.963693696799496
2015-10,-120.68,45.99,47.5070976319884
2015-10,-120.60083,46.57417,
2015-10,-120.5428,46.5683,
